IATA CODE,Airport,City,Latitude,Longitude
KHI,Karachi Jinnah International Airport,Karachi,24.9067,67.1608
ISB,Islamabad International Airport,Islamabad/Rawalpindi,33.5658,72.8257
LHE,Lahore Allama Iqbal International Airport,Lahore,31.5214,74.4039
LYP,Faisalabad International Airport,Faisalabad,31.365,72.9947
SKT,Sialkot International Airport,Sialkot,32.5356,74.3639
MUX,Multan International Airport,Multan,30.2033,71.4192
PEW,Peshawar Bacha Khan International Airport,Peshawar,33.9939,71.5147
GWD,Gwadar International Airport,Gwadar,25.2322,62.3272
UET,Quetta International Airport,Quetta,30.24,66.94
DEA,Dera Ghazi Khan International Airport,Dera Ghazi Khan,29.9608,7.4858
RYK,Shaikh Zayed International Airport,Rahim Yar Khan,28.3839,7.2797
TUK,Turbat International Airport,Turbat,25.9864,63.0303
KDU,Skardu International Airport,Skardu,35.3356,75.5361
ABT,Abbottabad Airport,Abbottabad,34.15,73.2167
BNP,Bannu Airport,Bannu,32.9719,7.5242
BHV,Bahawalpur Airport,Bahawalpur,29.3481,71.7178
CHA,Chashma Airport,Chashma,32.4244,71.4583
CHB,Chilas Airport,Chilas,35.4269,74.085
CJL,Chitral Airport,Chitral,35.8817,71.7981
DBA,Dalbandin Airport,Dalbandin,28.875,64.4044
DSK,Dera Ismail Khan Airport,Dera Ismail Khan,31.9092,7.8964
GIL,Gilgit Airport,Gilgit,35.9186,74.3336
GRT,Gujrat Airport,Gujrat,32.6289,74.0664
HDD,Hyderabad Airport,Hyderabad,25.3183,68.3667
MBI,Maai Bakhtawar International Airport (under construction),Islamkot,24.8472,7.0964
JAG,Jacobabad Airport / PAF Base Shahbaz,Jacobabad,28.2842,68.4497
JIW,Jiwani Airport,Jiwani,25.0678,61.8056
KCF,Kadanwari Airport,Kadanwari gas field,27.2064,69.1564
KDD,Khuzdar Airport,Khuzdar,27.7944,66.6403
WLT,Walton Airport,Lahore,31.4947,74.3461
XJM,Mangla Airport,Mangla,33.05,73.6383
MJD,Moenjodaro Airport,Mohenjo-daro,27.3353,68.1431
MFG,Muzaffarabad Airport,Muzaffarabad,34.3392,73.5086
WNS,Nawabshah Airport,Nawabshah,26.2194,68.39
ORW,Ormara Airport,Ormara,25.2747,64.5861
PJG,Panjgur Airport,Panjgur,26.9547,64.1325
PAJ,Parachinar Airport,Parachinar,33.9028,7.0714
PSI,Pasni Airport,Pasni City,25.2906,63.3453
RAZ,Rawalakot Airport,Rawalakot,33.8497,73.7983
SDT,Saidu Sharif Airport,Saidu Sharif,34.8133,72.3528
RZS,Sawan Airport,Sawan Gas Field,26.9594,68.8739
SYW,Sehwan Sharif Airport,Sehwan Sharif,26.4731,67.7172
SBQ,Sibi Airport,Sibi,29.5744,67.8431
MPD,Sindhri Airport,Sindhri,25.6841,69.0753
KDU,Skardu Airport,Skardu,35.3356,75.5361
SUL,Sui Airport,Sui,28.6453,69.1769
SKZ,Begum Nusrat Bhutto Airport Sukkur,Sukkur,27.7219,68.7917
TLB,Tarbela Dam Airport,Tarbela Dam,33.9861,72.6114
PZH,Zhob Airport,Zhob,31.3583,69.4636
